adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022
UA7404001,Baturynska,Chernihivska,Chernihiv,32.87336438107773,51.31009489491533,1,-6.589109710395233,1
UA7404003,Bakhmatska,Chernihivska,Chernihiv,32.754747670493735,51.12067086795322,0,12.453481031675713,0
UA7404005,Bobrovytska,Chernihivska,Chernihiv,31.450446171658708,50.73136540575264,1,-17.41243989462933,10
UA7404007,Borznianska,Chernihivska,Chernihiv,32.416308208541444,51.280976828047606,0,14.306645218117355,0
UA7404009,Vertiivska,Chernihivska,Chernihiv,31.841244271623836,51.1692621764008,1,-12.461477694476146,1
UA7404011,Vysochanska,Chernihivska,Chernihiv,32.631064453178695,51.36630490175299,0,6.279045499564439,0
UA7404013,Dmytrivska,Chernihivska,Chernihiv,32.8900983729199,50.97163425796107,1,-3.839593021890944,1
UA7404015,Komarivska,Chernihivska,Chernihiv,32.15147364777674,51.26610304125844,0,5.244237054099344,0
UA7404017,Krutivska,Chernihivska,Chernihiv,32.176175736954,51.05722172841361,1,-6.55281998888081,2
UA7404019,Losynivska,Chernihivska,Chernihiv,31.936151161887945,50.80363796591731,1,-13.106487365864208,6
UA7404021,Makiivska,Chernihivska,Chernihiv,31.78348500640959,50.743133823040765,1,-12.34793322509694,2
UA7404023,Mrynska,Chernihivska,Chernihiv,31.539126426234517,51.094987306202356,0,6.1074464657026075,0
UA7404025,Nizhynska,Chernihivska,Chernihiv,31.946823137285854,51.04022440517742,1,-11.727124076652796,8
UA7404027,Novobasanska,Chernihivska,Chernihiv,31.527260336214194,50.59910556121941,1,-28.41148970358921,21
UA7404029,Nosivska,Chernihivska,Chernihiv,31.563919556657762,50.95802267610307,0,7.062406268131083,0
UA7404031,Plyskivska,Chernihivska,Chernihiv,32.41409845338724,51.12512528322806,0,5.523694923452117,0
UA7404033,Talalaivska,Chernihivska,Chernihiv,31.922654565543,50.95436806473929,1,-3.856952347294205,1
UA7406001,Koropska,Chernihivska,Chernihiv,32.9506056026476,51.52766158701347,0,12.552518708538658,0
UA7406003,Novhorod-Siverska,Chernihivska,Chernihiv,33.11539672973379,52.07698992218155,1,-12.918324442384973,1
