adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022,adm3_name_en,adm3_name_uk,month,pit_total_uah,month_dt,year,month_num,post_invasion,during_occ,post_lib,log_pit,pit_military_uah,pit_civilian_uah,share_military,share_civilian,pop_2022,kse_war_zone_apr2022,pit_total_pc,pit_civilian_pc,pit_military_pc,log_pit_pc,log_pit_civ_pc
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-08,47293871.15,2021-08-01,2021.0,8.0,0,0,0,17.671891292215342,2402700.32,44891170.83,0.05080362976376908,0.9491963702362309,25085.0,0.0,1885.3446741080327,1789.5623213075542,95.78235280047836,7.54239620052987,7.490284995483157
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-09,54409709.45,2021-09-01,2021.0,9.0,0,0,0,17.812053196815896,2776374.72,51633334.73,0.05102719253723197,0.9489728074627679,25085.0,0.0,2169.013731313534,2058.3350500298984,110.67868128363564,7.68248877430874,7.630138418427697
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-10,62808789.20999999,2021-10-01,2021.0,10.0,0,0,0,17.955605593140145,3125891.79,59682897.419999994,0.04976838161214413,0.9502316183878559,25085.0,0.0,2503.8385174407013,2379.2265266095274,124.61199083117401,7.825979547345538,7.774950941383964
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-11,71347244.57,2021-11-01,2021.0,11.0,0,0,0,18.083069296657015,3502583.33,67844661.24000001,0.04909206166418321,0.950907938335817,25085.0,0.0,2844.2194367151683,2704.5908407414795,139.62859597368947,7.95339547424161,7.903075592841971
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-12,85567405.70000002,2021-12-01,2021.0,12.0,0,0,0,18.26481500575292,3911389.92,81656015.78,0.04571121314245944,0.9542887868575404,25085.0,0.0,3411.098493123381,3255.1730428542955,155.9254502690851,8.135082774878224,8.088307871550013
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-01,4380743.600000001,2022-01-01,2022.0,1.0,0,0,0,15.292729267904267,319938.51,4060805.0900000003,0.07303292299508238,0.9269670770049175,25085.0,0.0,174.63598166234803,161.88180546143116,12.754176200916882,5.168413567171432,5.0930248179116715
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-02,12736968.9,2022-02-01,2022.0,2.0,1,1,0,16.36001933837526,679087.83,12057881.069999998,0.05331628233778603,0.9466837176622138,25085.0,0.0,507.7523978473191,480.6809276460035,27.071470201315524,6.231961449959101,6.177281919009685
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-03,16040833.29,2022-03-01,2022.0,3.0,1,1,0,16.590648172142277,1385941.64,14654891.65,0.0864008505632939,0.9135991494367062,25085.0,0.0,639.45917042057,584.2093541957345,55.249816224835556,6.462185372888928,6.37196965363157
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-04,22084906.260000005,2022-04-01,2022.0,4.0,1,1,0,16.9104050037737,2273795.33,19811110.93,0.10295698352672109,0.8970430164732787,25085.0,0.0,880.40288060594,789.7592557305162,90.64362487542357,6.781514820618952,6.672993567119489
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-05,27239333.1,2022-05-01,2022.0,5.0,1,0,1,17.12017259327865,3603435.48,23635897.619999997,0.13228794797476154,0.8677120520252383,25085.0,0.0,1085.8813274865458,942.2323149292405,143.64901255730516,6.991067706815853,6.849312609587541
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-06,33010616.729999997,2022-06-01,2022.0,6.0,1,0,1,17.312339817074456,4887412.72,28123204.01,0.14805578338554112,0.851944216614459,25085.0,0.0,1315.9504377117798,1121.1163647598166,194.83407295196332,7.183074068318205,7.022971792612078
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-07,39161505.56,2022-07-01,2022.0,7.0,1,0,1,17.48320484679667,5756248.19,33405257.37,0.14698740785593026,0.8530125921440698,25085.0,0.0,1561.1523045644808,1331.6825740482361,229.4697305162448,7.353819831769445,7.194949162825425
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-08,45581594.38,2022-08-01,2022.0,8.0,1,0,1,17.63501458292442,6902275.97,38679318.410000004,0.15142682181008868,0.8485731781899113,25085.0,0.0,1817.0856838748257,1541.9301738090494,275.15551006577635,7.5055394044710395,7.3414385978129735
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-09,51769408.07000001,2022-09-01,2022.0,9.0,1,0,1,17.762309974287152,8110561.57,43658846.5,0.15666707177785968,0.8433329282221401,25085.0,0.0,2063.759540362767,1740.4363763205104,323.32316404225634,7.63276905326994,7.462465555300327
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-10,58150235.76,2022-10-01,2022.0,10.0,1,0,1,17.878540508459782,9094905.59,49055330.169999994,0.1564035892741151,0.8435964107258849,25085.0,0.0,2318.1277958939604,1955.5642882200516,362.5635076739087,7.748946443927713,7.578945299899309
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-11,66402823.51,2022-11-01,2022.0,11.0,1,0,1,18.01125015134316,11727484.14,54675339.37,0.17661122705473342,0.8233887729452666,25085.0,0.0,2647.112757026111,2179.6029248554914,467.5098321706199,7.881602498108814,7.687356688579046
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2022-12,91157688.71,2022-12-01,2022.0,12.0,1,0,1,18.32810141877796,18445620.75,72712067.96,0.2023484909614269,0.7976515090385731,25085.0,0.0,3633.9521112218454,2898.6273852900135,735.3247259318317,8.198351215526461,7.972337519888267
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2023-01,8034455.06,2023-01-01,2023.0,1.0,1,0,1,15.899249858533688,2763097.45,5271357.61,0.3439060184375467,0.6560939815624535,25085.0,0.0,320.28921905521224,210.13982898146304,110.14939007374926,5.772341711420087,5.352520610584253
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2023-02,16285542.8,2023-02-01,2023.0,2.0,1,0,1,16.60578838882761,5686717.91,10598824.89,0.3491881099597122,0.6508118900402877,25085.0,0.0,649.2143830974686,422.516439705003,226.69794339246562,6.477302128660925,6.048592332004571
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2023-03,24566191.779999997,2023-03-01,2023.0,3.0,1,0,1,17.016881778481796,7890857.24,16675334.540000001,0.3212079963661344,0.6787920036338657,25085.0,0.0,979.3179900338847,664.7532206497907,314.56476938409406,6.887876998658902,6.500919062308763
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2023-04,34737810.93,2023-04-01,2023.0,4.0,1,0,1,17.36333933262554,13536750.27,21201060.66,0.38968345752349914,0.6103165424765008,25085.0,0.0,1384.8041032489537,845.1688523021726,539.635250946781,7.23403583011324,6.740718928700647
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2023-05,47050134.1,2023-05-01,2023.0,5.0,1,0,1,17.66672429540493,20563882.75,26486251.35,0.4370632123235542,0.5629367876764457,25085.0,0.0,1875.628228024716,1055.8601295594979,819.7680984652183,7.537231949853399,6.963057649355867
