oblast,month,market_type,segment,class_label,room_count,median_uah,median_m2_uah,median_usd,median_m2_usd,listing_count,source
Sumy,2023-06,primary_sale,room_count,,2,1336500,23705,35879.19463087248,636.3637583892618,339,lun_ua_api_flat_history_ctype1
Sumy,2023-09,primary_sale,room_count,,1,976778,25879,25500.013053126226,675.609450463386,463,lun_ua_api_flat_history_ctype1
Sumy,2024-04,primary_sale,room_count,,1,938473,24921,24500,650.5813953488372,585,lun_ua_api_flat_history_ctype1
Sumy,2023-09,primary_sale,room_count,,3,1570505,22859,41000,596.7581255710743,257,lun_ua_api_flat_history_ctype1
Sumy,2024-01,primary_sale,room_count,,2,1340675,24781,35000,646.9500924214417,357,lun_ua_api_flat_history_ctype1
Sumy,2024-02,primary_sale,room_count,,3,1608810,24193,42000,631.5789473684212,237,lun_ua_api_flat_history_ctype1
Sumy,2023-11,primary_sale,room_count,,1,922425,25100,24081.059913849367,655.2669364312753,403,lun_ua_api_flat_history_ctype1
Sumy,2023-10,primary_sale,room_count,,3,1493895,22551,39000,588.709567941522,207,lun_ua_api_flat_history_ctype1
Sumy,2024-12,primary_sale,room_count,,2,1279575,24530,30250.000000000004,579.9000000000001,430,lun_ua_api_flat_history_ctype1
Sumy,2024-02,rental,room_count,,1,5000,142,130.53126223730584,3.698385763390332,82,lun_ua_api_flat_history_ctype2
Sumy,2024-11,rental,room_count,,1,7000,170,168.0672268907563,4.086741079410488,69,lun_ua_api_flat_history_ctype2
Sumy,2024-03,rental,room_count,,1,5000,136,130.53126223730584,3.5587408319427634,100,lun_ua_api_flat_history_ctype2
Sumy,2023-06,rental,room_count,,2,4000,83,107.38255033557047,2.216778523489933,92,lun_ua_api_flat_history_ctype2
Sumy,2023-11,rental,room_count,,2,5000,104,130.53126223730584,2.7194883174520297,80,lun_ua_api_flat_history_ctype2
Sumy,2023-10,rental,room_count,,1,4500,125,117.47813601357525,3.263281555932646,97,lun_ua_api_flat_history_ctype2
Sumy,2023-12,rental,room_count,,2,5500,111,143.5843884610364,2.9021278659480054,74,lun_ua_api_flat_history_ctype2
Sumy,2024-06,rental,room_count,,2,8000,152,194.884287454324,3.707038076576815,57,lun_ua_api_flat_history_ctype2
Sumy,2023-09,rental,room_count,,2,5000,103,130.53126223730584,2.6774572510116172,103,lun_ua_api_flat_history_ctype2
Sumy,2024-08,rental,room_count,,1,7000,173,168.8781664656212,4.175559060963161,53,lun_ua_api_flat_history_ctype2
Sumy,2024-04,rental,room_count,,2,6500,135,169.69064090849758,3.5203885876121883,64,lun_ua_api_flat_history_ctype2
Sumy,2024-05,rental,room_count,,2,9000,155,234.9562720271505,4.0375508443589005,52,lun_ua_api_flat_history_ctype2
Sumy,2024-07,rental,room_count,,2,7000,137,167.26403823178015,3.279687024152552,87,lun_ua_api_flat_history_ctype2
Sumy,2023-08,rental,room_count,,1,4500,132,116.73151750972764,3.4132295719844366,131,lun_ua_api_flat_history_ctype2
